0,0,0,1,0,1,0,0,0,0,0
3.3333e-4,0.0403,-3.6440e-4,3.9900e-4,2.6400e-4,0.9525,0.0164,-2.0000e-6,8.1925e-7,1.8250e-6,1.7167e-7
6.6667e-4,0.0611,-4.0890e-4,2.3880e-3,3.8600e-4,0.93,0.0204,-4.0000e-6,2.0693e-6,4.3250e-6,4.3887e-6
1.0000e-3,0.0843,-4.1192e-4,7.5980e-3,1.0700e-3,0.92,0.0288,-7.0000e-6,2.6700e-6,8.6000e-6,4.4156e-5
1.3333e-3,0.1001,-6.9210e-4,0.0205,4.9570e-3,0.9125,0.0345,-6.0300e-6,5.1933e-5,1.5310e-5,3.3442e-4
1.6667e-3,0.1158,-7.5100e-4,0.0201,5.2520e-3,0.875,0.0391,-7.0000e-6,7.2950e-5,2.7483e-5,3.2409e-4
2.0000e-3,0.1325,-8.1300e-4,0.0283,6.4380e-3,0.8685,0.0453,-7.5000e-6,8.8798e-5,9.1600e-6,6.3269e-4
2.3333e-3,0.1457,-8.6300e-4,0.0296,6.8920e-3,0.8373,0.0548,-8.0000e-6,1.1604e-4,3.6800e-5,6.9266e-4
2.6667e-3,0.1613,-6.3400e-4,0.0359,7.7500e-3,0.8298,0.0586,-1.0000e-5,2.3725e-4,4.9525e-5,1.0098e-3
3.0000e-3,0.1655,-7.4700e-4,0.0378,8.8760e-3,0.8071,0.0585,-1.3200e-5,5.2205e-4,7.6475e-5,1.1330e-3
3.3333e-3,0.1739,-6.6700e-4,0.0396,9.0360e-3,0.783,0.062,-8.0000e-6,1.3910e-3,1.2780e-4,1.2349e-3
3.6667e-3,0.1831,5.7000e-4,0.0406,0.0109,0.7701,0.0629,-2.0000e-6,2.1665e-3,1.8410e-4,1.3236e-3
4.0000e-3,0.2,6.4600e-4,0.0457,0.0116,0.7635,0.0669,1.4000e-5,2.8213e-3,2.2600e-4,1.6656e-3
6.6667e-3,0.2127,1.7600e-4,0.0651,0.0178,0.6793,0.0753,2.0000e-4,3.0438e-3,2.5590e-4,3.4158e-3
9.3333e-3,0.2081,3.2140e-3,0.0705,0.027,0.6186,0.0658,4.0000e-4,2.7488e-3,2.7545e-4,4.2732e-3
0.0133,0.1745,4.6790e-3,0.0717,0.0281,0.5655,0.0527,6.0000e-4,2.5878e-3,2.4818e-4,4.4506e-3
0.02,0.1308,4.7330e-3,0.0681,0.0306,0.527,0.0327,9.7300e-4,1.9623e-3,1.7593e-4,4.1770e-3
0.0267,0.0918,3.8240e-3,0.0624,0.0323,0.5171,0.0256,1.0550e-3,8.5705e-4,1.2693e-4,3.6992e-3
0.0333,0.062,3.2180e-3,0.056,0.0343,0.5098,0.0186,1.0870e-3,2.5128e-4,7.0375e-5,3.2332e-3
0.04,0.0374,-2.6610e-3,0.0443,0.0298,0.5045,0.0172,8.0000e-4,-8.4875e-5,8.9250e-6,2.1383e-3
0.0533,0.013,-2.4680e-3,0.0371,0.0263,0.5149,0.0167,5.0000e-4,-1.6765e-4,-1.7425e-5,1.5471e-3
0.0667,2.8710e-3,-3.2530e-3,0.023,0.0208,0.5175,0.0131,3.0000e-4,-5.2150e-5,-3.8650e-5,3.3113e-4
0.08,2.1470e-3,-3.6510e-3,0.0165,0.0106,0.5313,9.1302e-3,3.8000e-5,-4.7125e-6,-5.4675e-5,2.8862e-4
0.1067,2.6300e-4,-3.3230e-3,0.0108,8.3850e-3,0.5375,7.8789e-3,-1.1000e-5,2.3270e-5,-1.4550e-5,1.4060e-4
0.1333,3.7280e-4,-2.3600e-3,9.8790e-3,7.3030e-3,0.54,5.3791e-3,-1.0000e-6,1.9900e-6,-1.2750e-6,1.1320e-4
0.16,3.7200e-4,-1.6450e-3,7.7750e-3,6.6490e-3,0.5236,3.3575e-3,3.0000e-6,-1.5575e-6,-8.5000e-7,7.8495e-5
0.2,3.9700e-4,-1.1380e-3,7.7490e-3,4.9050e-3,0.527,3.0334e-3,1.3000e-6,4.9950e-6,-9.0000e-7,6.3080e-5
0.24,3.3100e-3,-1.0910e-3,7.5590e-3,4.8580e-3,0.5251,2.8629e-3,1.50000e-6,4.0150e-7,-9.0000e-7,6.0554e-5
0.28,2.7900e-4,-1.2860e-3,7.4410e-3,4.0490e-3,0.5277,2.9035e-3,1.6000e-6,1.0933e-6,-2.2500e-7,5.3822e-5
0.32,1.7200e-4,-9.7800e-4,7.1790e-3,4.1550e-3,0.5308,3.2389e-3,2.0000e-6,-1.5413e-6,1.7000e-6,5.1602e-5
0.36,1.1100e-4,-5.8400e-4,6.5000e-3,4.3470e-3,0.528,3.1980e-3,1.0000e-6,-2.2993e-6,-6.2500e-7,4.5860e-5
0.4,1.8100e-4,5.1000e-4,6.1530e-3,3.9160e-3,0.5217,2.8874e-3,-1.0000e-6,-2.1257e-7,-2.0000e-7,3.9896e-5
0.44,-1.2700e-4,6.3800e-4,5.4530e-3,4.0150e-3,0.52,2.9203e-3,-2.0000e-6,-3.4800e-7,1.0000e-7,3.4392e-5
0.5,-6.9000e-5,5.7900e-4,5.0290e-3,5.1590e-3,0.5174,3.1881e-3,1.1000e-6,8.7250e-7,1.0325e-6,3.8930e-5
